,question,answer,question_id
13,新三板股票的买卖申报是否当日有效申报的未成交部分是否可以撤销应如何操作,新三板股票的买卖申报当日有效。投资者可以撤销委托申报的未成交部分。但在电脑软件安翼金融终端的“中小企业股份转让”菜单下无撤单功能，可通过“委托”菜单下的撤单功能进行撤单。注：互报成交确认委托下，委托后撤单，系统提示不可撤单，且成交查询显示成交数量为负数，则是系统自动撤单。,13
14,股转系统挂牌公司股票有哪几种转让方式?怎么查询某只股票的转让方式,全国股转系统挂牌公司股票可采取做市转让方式、协议转让方式、竞价转让方式，挂牌公司只能采取做市转让、协议转让方式、竞价转让方式之一进行转让，投资者须根据挂牌公司规定的转让方式进行委托申报。投资者可通过全国股转系统公司网站（www.neeq.com.cn）查询挂牌公司公告，确认其转让方式；或者也可以通过PC版行情软件查询该只股票的“转让类型”，已在行情软件股票分时图中有该内容显示。,14
15,支持新三板股票交易及查询行情的交易软件有哪些,"支持新三板股票交易及查询行情的交易软件有以下两类：1、手机软件：（1）安信手机证券：支持股转系统的行情查询与登陆交易。点开最下方的“行情”菜单后，在最上方选择“行情”，选择沪深的“股转”市场，即可查看新三板股票行情(也可直接输入股票代码或股票名称首字母查询股票行情）；打开“个股”详情后，点击最下方的“买入”、“卖出”菜单即可选择委托方式，进行交易。另外，在“中小企业股份转让”菜单里可查询委托，也可进行新三板股票交易。
（2）安信同花顺：不支持查询股转整个板块行情，但可输个股代码可查询到三板个股行情。2、电脑软件：（1）安翼金融终端：支持交易和查询行情。登录后，在“股票”菜单中找到“中小企业股份转让”，点开后可选择委托方式，进行交易。（2）安信行情软件：支持查询行情和登录交易。登录后，在“股票”菜单中找到“中小企业股份转让”，点开后可选择委托方式，进行交易。（3）安信安睿软件：支持查询行情，不支持新三板股票的交易。",15
16,新三板股票的竞价转让方式的申报方式是怎样的,新三板股票竞价转让采用集合竞价和连续竞价两种方式。股票采取竞价转让方式的，每个转让日的9:15至9:25为开盘集合竞价时间，9:30至 11:30、13:00至14:55 为连续竞价时间，14:55 至15:00为收盘集合竞价时间。投资者可以采用限价委托方式委托主办券商买卖股票。限价申报应包括证券账户号码、证券代码、交易单元代码、证券营业部识别码、买卖方向、申报数量、申报价格等内容。每个转让日9:20至9:25、14:55至15:00交易主机不接受撤销申报；在其他接受申报的时间内，未成交申报可以撤销。全国股份转让系统对申报设置有效价格区间。开盘集合竞价的申报有效价格区间为前收盘价的上下20%以内。连续竞价、收盘集合竞价的申报有效价格区间为最近成交价的上下20%以内；当日无成交的，申报有效价格区间为前收盘价的上下20% 以内。不在有效价格区间范围内的申报不参与竞价，暂存于交易主机；当成交价波动使其进入有效格区间时，交易主机自动取出申报，参加竞价。挂牌后无成交的股票，对申报不设置有效价格区间。,16
17,新三板股票的协议转让方式的申报方式是怎样的,新三板股票的协议转让有三种委托方法：意向委托（目前交易所未采用）、定价委托和成交确认委托。交易主机接受申报的时间为每个转让日的9:15至11:30、13:00至15:00。全国股转系统对采取协议转让方式的股票设置有效价格范围。采取协议转让的股票，申报价格应当不高于前收盘价的200%且不低于前收盘价的50%。超出该有效价格范围的申报无效。股票无前收盘价的，成交首日不设申报有效价格范围，自次一转让日起设置申报有效价格范围。,17
18,新三板股票的做市转让方式的申报方法是怎样的,"新三板股票采用做市转让方式的，投资者之间不能成交。投资者可以采用限价委托方式委托主办券商买卖股票，由主办券商向全国股份转让系统做出限价委托申报。全国股份转让系统接受申报的时间为每个转让日的9:15至11:30、13:00至15:00，每个转让日的9:30至11:30、13:00至15:00为做市转让撮合时间。
　　全国股份转让系统对到价的限价申报或由于做市商更改报价使限价申报到价的，即时与做市申报进行成交；如有2笔以上做市申报到价的，按照价格优先、时间优先原则成交。成交价以做市申报价格为准。做市商提交新的申报后，前次做市申报的未成交部分自动撤销。",18
19,什么是新三板的做市商制度,新三板的做市商制度是指在证券市场上，由具备一定实力和信誉的证券经营法人作为特许交易商，不断地向公众投资者报出某些特许证券的买卖价格（双向价格），并在该价位上接受公众投资者的买卖要求，以其自有资金和证券与投资者进行证券交易的交易制度。,19
20,受限的新三板交易权限开通应满足什么条件如何开通,若客户通过股权激励、定向增资等方式获得了新三板股票，但客户不符合新三板开通条件时，客户可向营业部申请开通受限的新三板交易权限。一般需要携带有效身份证件与挂牌公司提供的持股证明到开户营业部办理开通。,20
21,新三板挂牌企业定向发行的股票在锁定期上有何限制,"新三板挂牌企业定向发行的股票在锁定期上有以下限制：发起人持有的本公司股份，自公司成立之日起一年内不得转让。公司董事、监事、高级管理人员应当向公司申报持有的本公司的股份及其变动情况，在任职期间每年转让的股份不得超过其所持有公司股份总数的百分之二十五。上述人员离职后半年内，不得转让其所持有的本公司的股份。
    另外，挂牌公司控股股东及实际控制人在挂牌前直接或间接持有的股票分三批解除转让限制，每批解除转让限制的数量均为其挂牌前所持股票的三分之一，解除转让限制的时间分别为挂牌之日、挂牌期满一年和两年。",21
22,新三板挂牌企业的定向增发行在对发行对象数量上有何限制,新三板挂牌企业的定向增发行在发行对象数量上有以下限制：公司的董事、监事、高级管理人员、核心员工以及符合投资者适当性管理规定的自然人投资者、法人投资者及其他经济组织参与公司定向发行的，上述发行对象合计不得超过35名。,22
23,机构投资者开通新三板需携带哪些证明资料,机构投资者除携带营业执照原件及复印件、法人授权委托书等基本材料外，法人机构申请开通新三板的还需携带“加盖公章的实收资本或实收股本总额500万元（含）以上的证明文件”；合伙企业申请开通新三板的需携带“加盖公章的合伙企业实缴出资总额不低于人民500万元的证明文件”。,23
24,投资者参与新三板股股票定向发行的准入条件有哪些,投资者参与新三板股票定向发行需满足以下条件之一：（一）公司股东、董事、监事、高级管理人员、核心员工，以及符合投资者适当性管理规定的自然人投资者、法人投资者及其他经济组织，其中，核心员工的认定，应当由公司董事会提名，并向全体员工公示和征求意见，由监事会发表明确意见后，经股东大会审议批准；（二）符合参与挂牌公司股票公开转让条件的投资者。,24
25,开通新三板需要2年以上证券、基金、期货投资经历，请问通过基金公司和银行渠道投资的基金算不算入该经验在银行买的理财产品算不算该经验,在基金公司和银行渠道投资的基金算该经验，在银行买的理财产品不算。,25
26,为什么要进行退市股份确权,股份确权是指非上市公司进入系统挂牌后，其原有流通股股东须将其所持有的股份，进行重新确认和登记，办理确权后方可进行两网及退市公司股票转让。,26
27,老三板确权情形分哪几种,老三板确权分两种情况：(1)持有公司流通股的客户可到任一主办券商办理股份重新确权、登记和托管手续；(2)持有公司非流通股或限售股的股东须到推荐公司股票挂牌的主办券商办理重新确权、登记和托管手续。,27
28,老三板的交易要素有哪些,老三板交易要素：（1）委托单位：以“手”为交易单位，每“手”100股。申报买入股份数量应当为一手的整数倍；不足一手的股份，可一次性申报卖出，对于单笔的申报上限没有限制。（2）委托价格：A类股份“每股价格”的最小变动单位为人民币0.01元；B类股份均以美元计价，“每股价格”的最小变动单位为0.001美元。（3）涨跌幅限制：涨跌幅比例限制为前一转让日转让价格的5%。（4）行情揭示：老三板实行可能成交价格预揭示制度，只揭示既定时点可能的成交价格、不揭示成交量。转让日的10：30、11：30、14：00 揭示一次可能的成交价格，最后一个小时即14：00 后每十分钟揭示一次可能的成交价格，最后十分钟即14：50 后每分钟揭示一次可能的成交价格。（5）成交原则：所有委托指令均于转让日下午3：00以集合竞价方式一次撮合成交，委托时间的委托不返回成交。（6）每周转让次数：以股票简称最后一个字符为转让次数，（比如：最后一个字符为“5”，则每星期一、二、三、四、五各转让一次；最后一个字符为“3”，则每星期一、三、五各转让一次；最后一个字符为“1”，则每星期五转让一次。（7）交易时间：转让委托申报时间为转让日的上午9：30 至11：30，下午13：00 至15：00。,28
29,老三板适合的投资者类型有哪些,老三板投资者准入：境外投资者（机构和个人）暂不允许参与A类股份转让；境内机构投资者暂不允许参与B类股份转让。备注：A类股份是指原STAQ、NET系统挂牌公司及沪深交易所A股退市公司的股份。B类股份是指沪深交易所B股退市公司的股份。A类股票代码为400***，B类股票代码为420***。,29
30,老三板的定义,两网及退市股票转让俗称“老三板”，是指证券公司以其自有或租用的业务设施，为原两网STAQ、NET系统挂牌公司和沪深退市公司提供股份转让服务。,30
31,老三板的申报单位是怎么规定的,老三板股票的申报数量应当为100股或其整数倍。卖出股票时候，余数不足100股的部分，应当一次性卖出，对于单笔的申报上限没有限制。,31
32,老三板首日怎样申报委托价格,"老三板首日委托分以下两种情况：（1）STAQ、NET系统原挂牌公司股份首日定价方法为：历史最高成交价与历史最低成交价之间为有效委托区间（含历史最高价和最低价）； 
（2）退市公司股份首日定价方法为：以退市公司在证券交易所最后一个交易日的收盘价作为基价，涨幅上限为5%，跌幅不设下限。",32
33,老三板的委托是否可以撤单,老三板的委托可通过委托菜单下的撤单功能进行撤单。,33
34,老三板的交易时间是什么,老三板接受投资者委托的时间为每周一至周五（具体视股票，是每周五次、三次、一次），报价系统接受申报的时间为上午9:30至11:30、13:00-15:00，投资者的委托指令在15:00以集合竞价的方式一次配对撮合成交。,34
35,办理确权之前需要开老三板权限吗,办理确权之前先要开通老三板权限。,35
36,办理确权需要在交易时间内去吗,办理老三板确权可在营业部的营业时间过去办理，如果T日15:00之前办理，T+2日可交易股票；如果T日15:00之后办理，T+3日可交易股票。,36
37,请问老三板转托管什么时候能够到账,老三板转托管T+1到帐，和普通账户一样。,37
38,请问在其他券商有老三板股票想转到我司，需要满足什么条件吗,老三板转托管没有限制，去营业部办理即可，费用是10元一笔。我司老三板席位号是：724800。,38
39,9月20号有新股吗,您好，明天有两个新股呢，分别是上海的780086(国芳集团)和深圳的002902(铭普光磁)，注意记得申购喔~,39
40,深交所《交易规则（2016年修订）》的修订内容主要包括哪些,1、深交所交易主机9:25-9:30期间不再接受竞价交易申报； 包括买卖申报和撤销申报，改变了原来该期间接受申报但暂时不进行处理的模式。2、债券质押式回购和组合订单不再采用协议大宗交易方式；3、债券协议大宗交易实行实时成交确认和行情揭示；4、证券处于临时停牌期间或停牌至收市的，深交所不再接受其协议大宗交易申报。,40
41,通过大宗交易方式买入的债券，当日能否提交作为质押券,通过大宗交易方式买入的债券，当日不能提交作为质押券。投资者通过大宗交易方式买入的债券，需次一交易日才能提交作为质押券。,41
42,怎样查询大宗交易的成交情况,查询大宗交易的成交情况的方法：（1）上交所：投资者可以在“上交所网（www.sse.com.cn）--披露--交易信息披露--大宗交易信息”栏目中查询。（2）深交所：投资者可以在“深交所网站（www.szse.cn）--信息披露---大宗交易”栏目中查询。,42
43,客户如何查看大宗交易席位号,客户可自助通过PC安翼--大宗交易委托--意向申报/成交申报--切换股东代码为沪A/深A，显示的“本方席位”即为该账号对应的沪深市场托管席位号。,43
44,如何查询大宗交易行情及历史数据,（1）大宗交易行情PC安翼：登录交易——股票——大宗交易委托——申报行情查询，在证券代码输入框中，输入要查询的证券代码，点击查询按钮可查看；PC安睿（含旧版通达信）：登录交易——股票——大宗交易——大宗交易行情查询，在证券代码输入框中，输入要查询的证券代码，买卖类型中选择需要查询的委托类型，点击查询按钮。（2）历史数据查看路径：上海市场：上交所官网——服务——交易服务——大宗交易专区；深圳市场：深交所管网——信息披露——大宗交易信息——权益类证券大宗交易/债券大宗交易。（3）交易所没有披露实时的申报意向清单，客户必须选定某个股票进行查看。,44
45,我司融资融券账户支持大宗交易吗,我司融资融券账户目前支持深圳市场进行大宗交易，上海市场不支持，客户如有对信用账户的大宗交易需求可联系营业部办理。,45
46,有哪些投资品种支持大宗交易，是否都支持自助委托,1、目前自助/临柜受理的证券类别包括股票、基金、债券、债券回购（限上海市场）、深圳市场优先股转让、深圳市场非公开发行公司债。其中，债券仅包括在交易所挂牌上市的国债、地方政府债、企业债、公司债、转换公司债、分离交易的可转换公司债、可交换公司债。2、需要临柜进行交易的证券类别有：中小企业私募债、可转换私募债、资产支持债券、次级债券。备注：我司自2016.9.23上线深圳市场非公开发行公司债转让功能，客户可自助通过PC安翼/PC安睿自行转让。,46
47,我司有哪些渠道支持客户进行大宗交易委托,1、大宗交易外围自助委托。客户（包括个人和机构）可自助通过我司PC安翼及PC安睿（含旧版通达信）自助委托。详细操作路径请查看附件安翼金融终端/安睿大宗交易操作指南。2、营业部受理客户临柜委托。,47
48,大宗交易是否纳入交易所即时行情及指数计算,大宗交易不纳入沪深交易所即时行情和指数的计算，成交量在大宗交易结束后计入该证券成交总量。,48
49,深圳市场大宗交易约定号填报规则是什么,"约定号：约定号是大宗交易委托的必输项，是配对成交的必备要素之一，由双方商讨决定。
（1）如果对手方是成交申报，约定号为长度小于8 位字符串（可包含数字、大小写字母、空格）；（2）如果对手方是定价申报，约定号为大于7 位小于9 位的数字字符串，该约定号是由深交所系统自动分配而来；（3）每个交易日内同一对交易单元之间协商成交（成交申报与成交申报配对）的约定号不得重复，成交申报与定价申报配对时不受此限制",49
50,深圳市场大宗交易交易单元号填报规则是什么,对手方的交易单元号是大宗交易委托的必输项，若提供的交易单元号错误，将导致配对成交失败。（1）如果我司是卖方，请给对手方提供客户股份托管的深圳交易单元号；（2）如果我司是买方，请给对手方提供证券账户托管的交易单元号。,50
51,上海市场大宗交易约定号填报规则是什么,约定号是大宗交易委托的必输项，是配对成交的必备要素之一，由双方商讨决定。上海市场约定号填报规则是：长度为6位的数字字符串。,51
52,上海市场大宗交易交易单元号填报规则是什么,对手方的交易单元号是大宗交易委托的必输项，若提供的交易单元号错误，将导致配对成交失败。上海市场交易单元号填报规则是：客户上海证券账户实际指定交易单元号。,52
53,沪深大宗交易委托申报要素包含哪些,委托申报要素：包括但不限于证券账户、证券代码、买卖方向、委托价格、委托数量、本方交易单元、对手方交易单元、约定号、价格类型等信息，提交后方能提交委托。,53
54,停牌期间，交易所是否接受大宗交易申报?,1、上海市场：交易日的15:00仍处于停牌状态的证券，上交所当日不再接受其大宗交易的申报。2、深圳市场：当天全天停牌、处于临时停牌期间或停牌至收市的证券，深交所不接受其协议大宗交易申报。当天全天停牌或停牌至收市的证券，深交所不接受其盘后定价大宗交易申报。,54
55,深圳市场大宗交易申报价格范围,1、有价格涨跌幅限制证券的协议大宗交易的成交价格，在该证券当日涨跌幅限制价格范围内确定。2、无价格涨跌幅限制证券的协议大宗交易的成交价格，在前收盘价的上下30%之间确定。,55
56,上海市场大宗交易申报价格范围,1、有价格涨跌幅证券的成交申报价格，由买方和卖方在当日价格涨跌幅限制范围内确定。2、无价格涨跌幅限制证券的成交申报价格，由买卖双方在前收盘价格的上下30%或当日已成交的最高、最低价格之间自行协商确定。3、每个交易日16：00至17：00接受的申报（成交申报属于此时段），适用于当日其他交易时段接受的涨跌幅价格。,56
57,如何自助查询创业板开通情况,客户可通过安翼V7-其他-创业板协议开通情况查询。目前pc安睿和安信手机证券都不支持自助查询创业板开通情况。,57
58,客户在其他券商的账户开通过创业板交易权限，但是该账户已经销户，是否还可以办理转签,客户在其他券商已经注销股东账户则不能办理创业板转签，如股东账户未销户，则可以转签。,58
59,在我司通过手机新开户，能否通过转签方式开通创业板,现手机开户支持创业板转签，前提是投资者在其他券商已开通过创业板权限。如在其他券商已开通权限，支持转签。若未在其他证券公司开通创业板，即使投资者已满足两年交易经验也不支持转签，可请投资者临柜申请开通。,59
60,如果测评不是积极型，客户能不能重新再做一次呢?,测评不是积极型，可以的重新测评，系统记录最近结果。,60
61,申请开通创业板交易权限的流程是怎么样的,"申请开通创业板交易权限流程如下：
第一步，客户通过PC安翼、PC安睿、安信手机证券进行风险能力测评，且测评结果在谨慎型及以上；风险测评结果划分为五类：保守型（含最低类别）、谨慎型、稳健型、积极型、激进型。
第二步，客户携带本人有效身份证明文件；如代理人办理的，还需提供经公证的授权委托书和代理人有效身份证明文件，到我司营业部临柜提出申请；第三步，我司工作人员审核账户情况、查询测评结果；第四步，我司工作人员查询首次股票交易日期；第五步，客户签署风险揭示书。第六步，满足2年以上股票交易经验的，申请后2个工作日为其开通；不满足2年以上股票交易经验的，原则上不允开通，若客户强烈要求，在签署相关文件后，申请后5个工作日为其开通。",61
62,机构户申请创业板是不是也要风险评测，并现场签风险揭示书,机构户无需签署风险提示书，携带必要材料（可联系营业部咨询）到开户营业部办理。,62
63,客户销户重开，现需要开通创业板，可以查到交易经验吗,按已销户的卡号可以查询交易经验。,63
64,创业板中的股票交易经验包括哪方面,"股票交易经验的具体标准：（1） 所称股票是指，所有的A股和B股，不包括基金、债券、权证等交易品种。也不包括代办股份转让系统挂牌的非上市公司股票。（2）交易是指：股票的买入或卖出，IPO与增发中的新股认购（即中签缴款）。不包括债转股（包括转股后卖出）、权证行权、ETF申赎、新股申购、非交易过户（但包括其所得股票卖出）。（3）交易经验起算时点：
①股票交易经验起算时点为客户本人名下账户在沪深交易所发生的首笔交易之日；②客户注销账户又重开户的，交易起算时点为已注销账户的首次交易日期；③账户合并、挂失补办新号的，交易经验起算时点为旧账户的首次交易日期。",64
65,申请开通创业板，如何查询首次股票交易经验日期,1、自2009年7月13日起，投资者可登陆中国登记结算公司网站（www.chinaclear.cn）查询个人首次交易日期的信息，查询需提供投资者个人身份证号码及证券账户号码。具体路径： 首页 > 网上业务平台 > 投资者服务专区 > 证券查询服务，选择“投资者首次交易日期查询”，输入身份证号码及证券账号，即可查询。链接：http://www3.chinaclear.cn/iftd/iftd_query.html。2、可本人带上身份证，到我公司营业部直接咨询工作人员。,65
66,定向资产管理专用证券账户如何开通创业板业务,定向资产管理业务中的集合理财、定向理财客户均视同机构客户处理，也即不需办理创业板开通手续就可参与创业板交易。,66
67,机构客户开通创业板需要申请开通吗,一般情况下，机构客户无需申请，柜台系统自动开通交易创业板交易。若客户为机构客户未开通创业板，请客户联系开户营业部。,67
68,开通创业板是否可以在非开户营业部办理,开通创业板可以在安信任何一家营业部柜台办理。,68
69,融资融券账户要如何开通创业板权限,1、如果客户的信用账户和普通账户都没有开通创业板，首先是需要本人带身份证去开户营业部现场申请开通普通账户的创业板交易权限，开通后，再同步信用账户的创业板改签（可一起办理，具体向营业部柜台确认）。2、如果信用账户未开通创业板交易权限，但是普通账户已经开通了，需要联系开户营业部办理创业板权限的同步改签（营业部处理一般可电话办理，出于合规还是建议客户联系营业部确认具体的办理方式）。备注：融资融券账户的创业板权限生效日和普通账户是同步的。,69
70,创业板市场有哪些风险?,创业板上市公司规模较小，多处于创业及成长期，发展相对不成熟，部分公司经营可能大起大落甚至失败，退市风险较大。（1） 创业板上市公司完善公司治理，加强诚信建设任务更为艰巨。股价大幅度风险：创业板上市公司规模小，估值难，估值结果稳定性差，股价可能大幅波动。所以存在着诚信风险。（2）创业板上市公司高科技转化为产品或劳务具有不确定性，存在技术失败风险。（3）创业板经营稳定性整体上低于主板上市公司，存在业绩不稳定的经验风险。（4）规则差异可能带来的风险，,70
71,创业板股票在上市后多久进入全国中小企业股份转让,创业板上市公司应当在其股票被终止上市后及时做好准备工作，并配合股份转让服务机构做好相关工作，以确保公司股份在退市整理期届满后四十五个交易日内可以进入全国中小企业股份转让系统挂牌转让。,71
72,个人投资者参与创业板退市整理期交易需满足什么条件?,"参与退市整理期股票买入交易的个人投资者，必须具备两年以上股票交易经验，其证券类资产不得低于人民币五十万元。
前款所述的证券类资产包括投资者持有的客户交易结算资金、股票、债券、基金、证券公司资产管理计划等资产。",72
73,进入退市整理期的创业板股票简称是什么,"退市整理期间，创业板上市公司的证券代码不变，证券简称应当变更为“XXX退”。
同时发行A股、B股的上市公司，其A股、B股股票按规定进入退市整理期交易的，其证券简称应当分别变更为“XXA退”、“XXB退”。仅发行B股的上市公司，其B股股票按规定进入退市整理期交易的，其证券简称应当变更为“XXB退”。",73
74,创业板股票终止上市后多长时间进入退市整理期时间?,"1、上市公司对深交所作出的终止上市决定未提出复核申请的，自深交所作出上市公司股票终止上市的决定后十五个交易日届满的次一交易日起，公司股票交易进入退市整理期。
2、公司对深交所作出的终止上市决定提出复核申请且上诉复核委员会作出维持终止上市决定的，自上诉复核委员会作出该决定后的次一交易日起，公司股票交易进入退市整理期。",74
75,创业板上市公司有限售条件的股份上市流通，需办理的手续有哪些,"上市公司向深交所申请证券投资基金、法人、战略投资者配售的股份上市流通时，应当提交下列文件：（1） 上市流通申请书；（2） 配售结果的公告；（3） 配售股份的托管证明；（4） 有关向证券投资基金、法人、战略投资者配售的股份说明；（5） 上市流通提示性公告；（6） 深交所要求的其他文件。
经深交所同意后，上市公司应当在配售的股份上市流通前三个交易日内披露提示性公告。公告内容包括：（1） 配售股份的上市流通时间；（2） 配售股份的上市流通数量；（3） 配售股份的发行价格；（4） 公司的历次股份变动情况。",75
76,明天有新股吗,您好，明天有两只新股，都是上海的，分别是732367(辰欣药业)和732378(亚士创能)，注意记得申购呢~,76
77,基金定投,基金定投是定期定额投资基金的简称，比如您在固定的时间（如每月15号）以固定的金额（如每月1000元）投资到指定的开放式基金中。这个有点类似于银行的零存整取方式，不知道我这样解释您能明白吗,77
78,天利宝是什么,您好！我司天利宝是以短期金融工具为主要投资对象，属于预期收益适中、低风险的现金类理财品种。&lt;br /&gt;首次参与的最低金额（含认购/申购费）为5万元，多次参与的最低金额（含认购/申购费）为1000元。,78
79,退市公司重新上市交易首日的开盘价是如何决定的,"公司股票重新上市首日的开盘参考价原则上应为其在股份转让系统或其他交易场所最后一个转让日或交易日的成交价。
公司认为需要调整上述开盘参考价的，需由重新上市保荐机构出具专项核查意见，充分说明理由并对外披露。其中，主动退市公司退市后其股票未转入股份转让系统或其他交易场所交易或转让的，重新上市保荐机构应就开盘参考价的确定方法及其依据出具核查意见并对外披露。",79
80,退市公司重新上市交易首日有价格涨跌幅限制吗,退市公司重新上市后沿用其终止上市前的股票代码，重新上市首日股票交易不设涨跌幅限制。,80
81,退市整理期股票退市多久后可以申请重新上市,"根据退市公司退市情形的不同，交易所对退市后申请重试上市做出了以下规定：
(1)主动退市公司可以随时向交易所提出重新上市申请。
(2)强制退市公司向交易所申请重新上市的，根据强制退市情形不同，其申请时间应当符合下列规定：
①因市场交易类指标强制退市的公司，自其股票进入全国中小企业股份转让系统（以下简称“股份转让系统”）转让之日起满3个月；
②除因重大违法、市场交易类指标强制退市公司之外的其他强制退市公司，自其股票进入股份转让系统转让之日起满12个月；
③重大违法强制退市公司，自其股票进入股份转让系统转让之日起满一个完整会计年度。",81
82,退市股票在股份转让前可以转托管吗,在中国证券登记结算有限责任公司终止为退市公司股提供证券交易所市场的登记服务前，退市股票可以转托管；终止登记服务后，退市股票不可以转托管。,82
83,股票的退市整理期届满多久后可以在代办股份转让系统转让,股票的退市整理期届满后，上市公司会再次发布终止上市公告，对公司股票进入全国中小企业股份转让系统挂牌转让的具体事宜，包括拟进入的市场名称、进入日期、股份重新确认、登记、托管等股票终止上市后续安排作出说明。,83
84,投资者怎么获取进入退市整理期股票的信息,投资者可通过以下方式获得退市整理期股票的信息：(1)退市整理期间，上市公司会在首个交易日、前二十五个交易日的每五个交易日发布一次股票将被终止上市的风险提示公告，并在最后五个交易日内每日发布一次股票将被终止上市的风险提示公告；(2)证券公司会在公司网站、营业场所设立“上市公司退市信息专栏”，及时转载或张贴上市公司发布的股票退市风险信息，投资者也可浏览；(3)投资者也可以通过相关指定股市信息披露媒体或者财经类网站等渠道获取信息。,84
